system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,primary_address_line_1,Website,PTO Website,PTO or Parent Coordinator contact availible?,Contact Pos,If_Contacted,If_Responded,Community_district,Council-district,Census_tract,NTA,NTA_Name,Principal_Name,Principal_title,Principal_phone_number,fax_number,Geographical_District_code,Administrative_District_Code,Administrative_District_Name,community_school_sup_name,Tier_3_Support_Location_Name,Tier_3_Support_Leader_Name,Police_precinct
15K001,K001,P.S. 001 The Bergen,DOE,General Academic,Elementary,309 47 STREET,https://www.ps1k.org/,https://www.ps1k.org/pta,1,,1,0,307,38,8000,BK32,Sunset Park West,Arlene Ramos,Principal,718-567-7661,718-567-9771,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,72
17K002,K002,Parkside Preparatory Academy,DOE,General Academic,Junior High-Intermediate-Middle,655 PARKSIDE AVENUE,https://parksideprepacademy.ss11.sharpschool.com/,,0,,0,,309,40,80200,BK60,Prospect Lefferts Gardens-Wingate,ADRIENNE SPENCER,Principal,718-462-6992,718-284-7717,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,71
13K003,K003,P.S. 003 The Bedford Village,DOE,General Academic,Elementary,50 JEFFERSON AVENUE,https://www.ps3brooklyn.org/,,1,,1,-1,303,36,22700,BK69,Clinton Hill,KRISTINA BEECHER,Principal,718-622-2960,718-623-3193,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,79
75K004,K004,P.S. K004,DOE,Special Education,Elementary,923 JEROME STREET,https://www.p4brooklyn.org/,,0,,0,,305,42,107800,BK82,East New York,Rebecca Schropfer,Principal,929-275-3937,718-927-3554,19,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,75
16K005,K005,P.S. 005 Dr. Ronald McNair,DOE,General Academic,Elementary,820 HANCOCK STREET,https://ps5mcnair.com/,https://ps5mcnair.com/pta/,1,PTO President,1,,303,41,37700,BK35,Stuyvesant Heights,LENA GATES,Principal,718-218-2444,718-218-2445,16,16,COMMUNITY SCHOOL DISTRICT 16,"MARTIN, YOLANDA",NYCDOE Borough Office - Brooklyn North,NULL,81
17K006,K006,Norma Adams Clemons Academy,DOE,General Academic,Elementary,43 SNYDER AVENUE,https://ps6brooklyn.org/,https://ps6brooklyn.org/pacpta/,1,PTO President,1,,314,40,79400,BK95,Erasmus,Sharon Porter,Principal,718-856-6560,718-856-7493,17,17,COMMUNITY SCHOOL DISTRICT 17,"ELLIS, CLARENCE",NYCDOE Borough Office - Brooklyn South,Mauriciere de Govia,70
19K007,K007,P.S. 007 Abraham Lincoln,DOE,General Academic,Elementary,858 JAMAICA AVENUE,https://www.007k.org/,,0,,0,,305,37,118201,BK83,Cypress Hills-City Line,Carolyn Noel,Principal,718-647-3600,718-827-4004,19,19,COMMUNITY SCHOOL DISTRICT 19,THOMAS MCBRYDE JR,NYCDOE Borough Office - Brooklyn North,NULL,75
13K008,K008,P.S. 008 Robert Fulton,DOE,General Academic,K-8,37 HICKS STREET,https://ps8brooklyn.org/,https://ps8brooklyn.org/parents/about-the-pta/,1,Communications,1,,302,33,100,BK09,Brooklyn Heights-Cobble Hill,Patricia Peterson,Principal,718-834-6740,718-834-7690,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,84
13K009,K009,P.S. 009 Teunis G. Bergen,DOE,General Academic,Elementary,80 UNDERHILL AVENUE,https://www.ps9brooklyn.org/,https://www.ps9brooklyn.org/pto/,1,PTO President,1,,308,35,20500,BK64,Prospect Heights,Emma Pelaezvelazquez,I.A. Principal,718-638-3260,718-622-2961,13,13,COMMUNITY SCHOOL DISTRICT 13,"SAMUELS, KAMAR",NYCDOE Borough Office - Brooklyn North,NULL,77
15K010,K010,"Magnet School of Math, Science and Design Technolo",DOE,General Academic,Elementary,511 7 AVENUE,https://www.ps10.org/,https://www.ps10.org/groups/78217/pta/pta,1,SLT,1,,307,38,14900,BK37,Park Slope-Gowanus,LAURA SCOTT,Principal,718-965-1190,718-369-1736,15,15,COMMUNITY SCHOOL DISTRICT 15,"SKOP, ANITA",NYCDOE Borough Office - Brooklyn North,NULL,72
